R,R_12,modulation_depth,nuclear_zq_frequency,pair_contribution,intensity
1.0,1.0,5.067395410944439e-7,-5.3017683292798275e8,-2.3106787989968597e-7,0.9999997689321201
1.0,1.292929292929293,7.804311258446552e-8,-6.250598743928949e8,-2.908124111244235e-8,0.9999999709187589
1.0,1.5858585858585859,2.236358373337323e-8,-6.327747999515474e8,-5.996877303136785e-10,0.9999999994003123
1.0,1.878787878787879,1.035623788580892e-8,-5.592152334946967e8,-4.908937209753932e-13,0.9999999999995091
1.0,2.1717171717171717,6.810464897866483e-9,-4.4649343390130246e8,-2.072349537340817e-8,0.9999999792765046
1.0,2.4646464646464645,5.655978876543265e-9,-3.3519340681987554e8,-2.238616655366324e-8,0.9999999776138334
1.0,2.757575757575758,5.419214307012567e-9,-2.4449091844262406e8,-3.903320443232014e-10,0.999999999609668
1.0,3.0505050505050506,5.6379574744227006e-9,-1.7706678799994507e8,-2.2284075752097244e-9,0.9999999977715924
1.0,3.3434343434343434,6.1355192677375375e-9,-1.2891670370326349e8,-1.9170195757410417e-9,0.9999999980829805
1.0,3.6363636363636362,6.832859454549272e-9,-9.495330585297678e7,-5.493150721298001e-10,0.999999999450685
1.0,3.9292929292929295,7.689810478769727e-9,-7.094343511137159e7,-1.8648407192198923e-10,0.999999999813516
1.0,4.222222222222222,8.683726961187074e-9,-5.380676849948513e7,-2.38125750841964e-8,0.9999999761874249
1.0,4.515151515151516,9.800729740239557e-9,-4.141589576586792e7,-1.8620438125544444e-10,0.9999999998137956
1.0,4.808080808080808,1.1031730443043987e-8,-3.232780039591855e7,-4.210035270265482e-8,0.9999999578996474
1.0,5.101010101010101,1.2370461522732645e-8,-2.5565350354276296e7,-2.3447867948096237e-8,0.999999976552132
1.0,5.393939393939394,1.3812422807540809e-8,-2.046256778943754e7,-5.050566492059971e-8,0.9999999494943351
1.0,5.686868686868687,1.535427952276357e-8,-1.656070907955815e7,-4.04804060380738e-8,0.999999959519594
1.0,5.97979797979798,1.6993498014455675e-8,-1.3539802228927555e7,-6.478186683629352e-8,0.9999999352181331
1.0,6.2727272727272725,1.8728114262328645e-8,-1.1173700013562698e7,-1.1720471635000266e-8,0.9999999882795284
1.0,6.565656565656566,2.05565805705985e-8,-9.300436361774703e6,-9.461699429989872e-9,0.9999999905383006
1.0,6.858585858585859,2.2477660454974776e-8,-7.802503214129777e6,-7.863567624904901e-8,0.9999999213643237
1.0,7.151515151515151,2.449035445595103e-8,-6.593583697788584e6,-9.789215904418175e-8,0.999999902107841
1.0,7.444444444444445,2.659384649340249e-8,-5.609521140624962e6,-2.7161521763731693e-10,0.9999999997283848
1.0,7.737373737373737,2.8787464274213037e-8,-4.802095758576081e6,-7.591440812753931e-8,0.9999999240855919
1.0,8.030303030303031,3.107064956030063e-8,-4.134683568547881e6,-1.0918925433129037e-7,0.9999998908107457
1.0,8.323232323232324,3.344293550670926e-8,-3.579192026064152e6,-5.9164907600296466e-8,0.9999999408350924
