theta,phi,Tm
0.0,0.0,8.688752686465294
0.0,10.0,8.688752686465294
0.0,20.0,8.688752686465294
0.0,30.0,8.688752686465294
0.0,40.0,8.688752686465294
0.0,50.0,8.688752686465294
0.0,60.0,8.688752686465294
0.0,70.0,8.688752686465294
0.0,80.0,8.688752686465294
0.0,90.0,8.688752686465294
0.0,100.0,8.688752686465294
0.0,110.0,8.688752686465294
0.0,120.0,8.688752686465294
0.0,130.0,8.688752686465294
0.0,140.0,8.688752686465294
0.0,150.0,8.688752686465294
0.0,160.0,8.688752686465294
0.0,170.0,8.688752686465294
0.0,180.0,8.688752686465294
0.0,190.0,8.688752686465294
0.0,200.0,8.688752686465294
0.0,210.0,8.688752686465294
0.0,220.0,8.688752686465294
0.0,230.0,8.688752686465294
0.0,240.0,8.688752686465294
0.0,250.0,8.688752686465294
0.0,260.0,8.688752686465294
0.0,270.0,8.688752686465294
0.0,280.0,8.688752686465294
0.0,290.0,8.688752686465294
0.0,300.0,8.688752686465294
0.0,310.0,8.688752686465294
0.0,320.0,8.688752686465294
0.0,330.0,8.688752686465294
0.0,340.0,8.688752686465294
0.0,350.0,8.688752686465294
0.0,360.0,8.688752686465294
10.0,0.0,8.201824694745014
10.0,10.0,8.217339644726437
10.0,20.0,8.252781520228185
10.0,30.0,8.299143751725762
10.0,40.0,8.354983990015299
10.0,50.0,8.42581000108495
10.0,60.0,8.524950269256234
10.0,70.0,8.669118971075422
10.0,80.0,8.81631884054112
10.0,90.0,8.923983760089241
10.0,100.0,8.974582093905827
10.0,110.0,8.984955124419901
10.0,120.0,8.985093776520506
10.0,130.0,8.999300084886425
10.0,140.0,9.034469708604306
10.0,150.0,9.07578099349783
10.0,160.0,9.100053582811883
10.0,170.0,9.079795781076475
10.0,180.0,9.019916939506851
10.0,190.0,8.938617702241169
10.0,200.0,8.860714148782458
10.0,210.0,8.794218017234547
10.0,220.0,8.743852667585728
10.0,230.0,8.699862491109995
10.0,240.0,8.661957769018903
10.0,250.0,8.628712045306246
10.0,260.0,8.60661754923223
10.0,270.0,8.590371743954579
10.0,280.0,8.572333371198567
10.0,290.0,8.557932336096972
10.0,300.0,8.532877044303556
10.0,310.0,8.480986257899907
10.0,320.0,8.403950663689063
