theta,phi,Tm
0.0,0.0,7.329586959392103
0.0,10.0,7.329586959392103
0.0,20.0,7.329586959392103
0.0,30.0,7.329586959392103
0.0,40.0,7.329586959392103
0.0,50.0,7.329586959392103
0.0,60.0,7.329586959392103
0.0,70.0,7.329586959392103
0.0,80.0,7.329586959392103
0.0,90.0,7.329586959392103
0.0,100.0,7.329586959392103
0.0,110.0,7.329586959392103
0.0,120.0,7.329586959392103
0.0,130.0,7.329586959392103
0.0,140.0,7.329586959392103
0.0,150.0,7.329586959392103
0.0,160.0,7.329586959392103
0.0,170.0,7.329586959392103
0.0,180.0,7.329586959392103
0.0,190.0,7.329586959392103
0.0,200.0,7.329586959392103
0.0,210.0,7.329586959392103
0.0,220.0,7.329586959392103
0.0,230.0,7.329586959392103
0.0,240.0,7.329586959392103
0.0,250.0,7.329586959392103
0.0,260.0,7.329586959392103
0.0,270.0,7.329586959392103
0.0,280.0,7.329586959392103
0.0,290.0,7.329586959392103
0.0,300.0,7.329586959392103
0.0,310.0,7.329586959392103
0.0,320.0,7.329586959392103
0.0,330.0,7.329586959392103
0.0,340.0,7.329586959392103
0.0,350.0,7.329586959392103
0.0,360.0,7.329586959392103
10.0,0.0,8.25904848484354
10.0,10.0,8.232923552678885
10.0,20.0,8.142002941145126
10.0,30.0,8.019073061807626
10.0,40.0,7.883541190297414
10.0,50.0,7.7413111667465895
10.0,60.0,7.605645357594473
10.0,70.0,7.483156622744723
10.0,80.0,7.361811041410553
10.0,90.0,7.269154313583911
10.0,100.0,7.211514390688263
10.0,110.0,7.176400255373838
10.0,120.0,7.1568927624614735
10.0,130.0,7.149578329902396
10.0,140.0,7.140694629262363
10.0,150.0,7.1299559066714995
10.0,160.0,7.145022145807992
10.0,170.0,7.197980993144824
10.0,180.0,7.26329507532888
10.0,190.0,7.313402609145829
10.0,200.0,7.3386793740216945
10.0,210.0,7.342772123145203
10.0,220.0,7.35071551810706
10.0,230.0,7.39291734040278
10.0,240.0,7.469197281015161
10.0,250.0,7.557439531990064
10.0,260.0,7.644107286044752
10.0,270.0,7.730092114625456
10.0,280.0,7.81566825937757
10.0,290.0,7.911365640173752
10.0,300.0,8.014679975446757
10.0,310.0,8.096636995734746
10.0,320.0,8.17608126344983
10.0,330.0,8.239978487072445
10.0,340.0,8.249966832896767
10.0,350.0,8.245736303174
10.0,360.0,8.25904848484354
20.0,0.0,9.498273276625405
20.0,10.0,9.425271365863656
20.0,20.0,9.28988762665529
20.0,30.0,8.998108327788039
20.0,40.0,8.680110825070347
20.0,50.0,8.328549894205281
20.0,60.0,8.030476326513334
20.0,70.0,7.8561967073523356
20.0,80.0,7.787696955569641
20.0,90.0,7.682990098763328
20.0,100.0,7.560845660484391
20.0,110.0,7.435558362663165
20.0,120.0,7.353260649701276
20.0,130.0,7.316902339699101
20.0,140.0,7.313937465764725
20.0,150.0,7.326466170455631
20.0,160.0,7.372005144009972
20.0,170.0,7.418535589515266
20.0,180.0,7.467649041022243
20.0,190.0,7.521567250947378
20.0,200.0,7.574779380171767
20.0,210.0,7.536354703285729
20.0,220.0,7.487038385655797
20.0,230.0,7.572736249599634
20.0,240.0,7.6469117391143575
20.0,250.0,7.705107624973578
20.0,260.0,7.836049142656189
20.0,270.0,8.002322371107306
20.0,280.0,8.042200229251735
20.0,290.0,8.139753863885787
20.0,300.0,8.355245865683205
20.0,310.0,8.586679148676772
20.0,320.0,8.860225836980128
20.0,330.0,9.117584146051477
20.0,340.0,9.282400120383704
20.0,350.0,9.383251094371436
20.0,360.0,9.498273276625405
30.0,0.0,10.619424147884628
30.0,10.0,10.53527468574742
30.0,20.0,10.179257060517395
30.0,30.0,9.711609839489618
30.0,40.0,9.136703843552766
30.0,50.0,8.677551715372436
30.0,60.0,8.463357853775994
30.0,70.0,8.287755969351492
30.0,80.0,8.035408328357756
30.0,90.0,7.809797459798819
30.0,100.0,7.660377028659258
30.0,110.0,7.503713060655532
30.0,120.0,7.427416101693088
30.0,130.0,7.397719416593151
30.0,140.0,7.412367715040477
30.0,150.0,7.544847649039198
30.0,160.0,7.6500849920966525
30.0,170.0,7.6359238857608664
30.0,180.0,7.605008469591523
30.0,190.0,7.622772851345074
30.0,200.0,7.615928613268781
30.0,210.0,7.660862826237998
30.0,220.0,7.6494083450885
30.0,230.0,7.702798723133856
30.0,240.0,7.643657688556911
30.0,250.0,7.588049009875828
30.0,260.0,7.6876142191814
30.0,270.0,7.898027896208541
30.0,280.0,8.120572598727788
30.0,290.0,8.143479329612765
