theta,phi,Tm
0.0,0.0,7.474513552990748
0.0,10.0,7.474513552990748
0.0,20.0,7.474513552990748
0.0,30.0,7.474513552990748
0.0,40.0,7.474513552990748
0.0,50.0,7.474513552990748
0.0,60.0,7.474513552990748
0.0,70.0,7.474513552990748
0.0,80.0,7.474513552990748
0.0,90.0,7.474513552990748
0.0,100.0,7.474513552990748
0.0,110.0,7.474513552990748
0.0,120.0,7.474513552990748
0.0,130.0,7.474513552990748
0.0,140.0,7.474513552990748
0.0,150.0,7.474513552990748
0.0,160.0,7.474513552990748
0.0,170.0,7.474513552990748
0.0,180.0,7.474513552990748
0.0,190.0,7.474513552990748
0.0,200.0,7.474513552990748
0.0,210.0,7.474513552990748
0.0,220.0,7.474513552990748
0.0,230.0,7.474513552990748
0.0,240.0,7.474513552990748
0.0,250.0,7.474513552990748
0.0,260.0,7.474513552990748
0.0,270.0,7.474513552990748
0.0,280.0,7.474513552990748
0.0,290.0,7.474513552990748
0.0,300.0,7.474513552990748
0.0,310.0,7.474513552990748
0.0,320.0,7.474513552990748
0.0,330.0,7.474513552990748
0.0,340.0,7.474513552990748
0.0,350.0,7.474513552990748
0.0,360.0,7.474513552990748
10.0,0.0,8.341619652682882
10.0,10.0,8.31865400236499
10.0,20.0,8.234104417041468
10.0,30.0,8.117737128558247
10.0,40.0,7.982374324168986
10.0,50.0,7.849538569441129
10.0,60.0,7.726651832223175
10.0,70.0,7.616449053947982
10.0,80.0,7.510095944969653
10.0,90.0,7.420032957936458
10.0,100.0,7.364472759371385
10.0,110.0,7.337788998338942
10.0,120.0,7.328199509442246
10.0,130.0,7.328121938850578
10.0,140.0,7.32466984220229
10.0,150.0,7.317725700824093
10.0,160.0,7.332198187180638
10.0,170.0,7.384150548570866
10.0,180.0,7.451806407341566
10.0,190.0,7.504284218281577
10.0,200.0,7.529608537138775
10.0,210.0,7.531069619909169
10.0,220.0,7.532619368462642
10.0,230.0,7.5616385691139545
10.0,240.0,7.622795109370432
10.0,250.0,7.698999068433436
10.0,260.0,7.7753947379014905
10.0,270.0,7.849757337906879
10.0,280.0,7.925939861274103
10.0,290.0,8.021079792473564
10.0,300.0,8.123321149186308
10.0,310.0,8.201831744647624
10.0,320.0,8.271914273328026
10.0,330.0,8.320044767821935
10.0,340.0,8.321951690444315
10.0,350.0,8.323876428536089
10.0,360.0,8.34161965268288
20.0,0.0,9.614650111532146
20.0,10.0,9.543308212824751
20.0,20.0,9.408423411750523
20.0,30.0,9.11119384890801
20.0,40.0,8.790781535092146
20.0,50.0,8.4436508595106
20.0,60.0,8.178142303878065
20.0,70.0,8.010053829750111
20.0,80.0,7.937688397821793
20.0,90.0,7.8349741736841505
20.0,100.0,7.721625723857412
20.0,110.0,7.610394321733166
20.0,120.0,7.534044997625441
20.0,130.0,7.497592678410408
20.0,140.0,7.499516426012333
20.0,150.0,7.526675742799096
20.0,160.0,7.581912153603876
20.0,170.0,7.6333075413378175
20.0,180.0,7.677475772300878
20.0,190.0,7.7192800244487225
20.0,200.0,7.751544061183116
20.0,210.0,7.69760121636212
20.0,220.0,7.6267890063765735
20.0,230.0,7.689034756243755
20.0,240.0,7.766809304828635
20.0,250.0,7.828622645312983
20.0,260.0,7.959974021718433
20.0,270.0,8.127198450046912
20.0,280.0,8.161756433579844
20.0,290.0,8.243595833843694
20.0,300.0,8.442386389789242
20.0,310.0,8.675862808171495
20.0,320.0,8.950088419392914
20.0,330.0,9.217512043124078
20.0,340.0,9.387129109938817
20.0,350.0,9.49989402442993
20.0,360.0,9.614650111532148
30.0,0.0,10.703727620147562
30.0,10.0,10.63997676025075
30.0,20.0,10.292475906708223
30.0,30.0,9.832815444555171
30.0,40.0,9.27153890032136
30.0,50.0,8.832110276725869
30.0,60.0,8.616203562543882
30.0,70.0,8.435675795640524
30.0,80.0,8.180139201920143
30.0,90.0,7.945437746413524
30.0,100.0,7.7956994184344435
30.0,110.0,7.637808667766977
30.0,120.0,7.568879255766647
30.0,130.0,7.535071786455239
30.0,140.0,7.5471974353075755
30.0,150.0,7.681195870766708
30.0,160.0,7.810153666911745
30.0,170.0,7.823183377459149
30.0,180.0,7.798206592015847
30.0,190.0,7.7820904265115
30.0,200.0,7.747780346964828
30.0,210.0,7.803241434436891
30.0,220.0,7.793492552228235
30.0,230.0,7.832021721750003
30.0,240.0,7.761678862287056
30.0,250.0,7.686460796057097
30.0,260.0,7.759723270564855
30.0,270.0,7.9790451726713805
30.0,280.0,8.195111783568223
30.0,290.0,8.190838391028079
30.0,300.0,8.542684857756907
30.0,310.0,8.96179159308143
30.0,320.0,9.34411251822219
30.0,330.0,9.683963657706151
30.0,340.0,10.216749574849548
30.0,350.0,10.57175845637429
30.0,360.0,10.703727620147562
40.0,0.0,11.29863991860037
40.0,10.0,11.09969929829216
40.0,20.0,10.58795892359186
40.0,30.0,9.860433374546316
40.0,40.0,9.320351866293091
40.0,50.0,8.917154407345283
40.0,60.0,8.551627209380282
40.0,70.0,8.400698113686401
40.0,80.0,8.381733286028666
40.0,90.0,8.367550169644282
40.0,100.0,8.232761028311492
40.0,110.0,8.105363893301899
40.0,120.0,8.063837573590334
40.0,130.0,7.996672818589973
40.0,140.0,8.02263492372306
40.0,150.0,8.176082729991808
40.0,160.0,8.096858013773458
40.0,170.0,7.879386011233552
40.0,180.0,7.781607756204169
40.0,190.0,7.989553439040562
40.0,200.0,8.113880141459354
40.0,210.0,8.149363711294878
40.0,220.0,8.228153228255906
40.0,230.0,8.255564403305863
40.0,240.0,8.049610771608481
40.0,250.0,7.896385030198517
40.0,260.0,7.933313776198216
40.0,270.0,7.862128647163288
40.0,280.0,7.801125461979119
40.0,290.0,7.79368134228116
40.0,300.0,8.145989764391917
40.0,310.0,8.726470621699075
40.0,320.0,9.175032141742093
40.0,330.0,9.75886665772039
40.0,340.0,10.405627592266494
40.0,350.0,11.059030313598424
40.0,360.0,11.29863991860037
50.0,0.0,10.477513214473284
50.0,10.0,10.471274660691906
50.0,20.0,9.93504347478954
50.0,30.0,9.571395533568735
50.0,40.0,8.877839364555209
50.0,50.0,8.624026554720002
50.0,60.0,8.449550575207336
50.0,70.0,8.593378593635984
50.0,80.0,8.755852189569136
50.0,90.0,8.75773242231872
50.0,100.0,8.673864499496837
50.0,110.0,8.534993602552968
50.0,120.0,8.558509879718104
50.0,130.0,8.605151320612878
50.0,140.0,8.459319511136819
50.0,150.0,8.426874648172578
50.0,160.0,8.559028097294775
50.0,170.0,8.856809447472463
50.0,180.0,8.89445248620013
50.0,190.0,8.680813880078782
50.0,200.0,8.746581513034249
50.0,210.0,8.774235536545763
50.0,220.0,8.697361580462243
50.0,230.0,8.684293249408638
50.0,240.0,8.514011542325136
50.0,250.0,8.258579571627148
50.0,260.0,8.122202143678154
50.0,270.0,8.03404845942574
50.0,280.0,7.8407522424269365
50.0,290.0,7.753805930078436
50.0,300.0,8.107913565743637
50.0,310.0,8.318198112703799
50.0,320.0,8.689669312319088
50.0,330.0,9.382929236500186
50.0,340.0,10.022449905155675
50.0,350.0,10.500704665717166
50.0,360.0,10.477513214473285
60.0,0.0,9.668110769262402
60.0,10.0,9.407194481880902
60.0,20.0,9.379884750775297
60.0,30.0,9.052856761593151
60.0,40.0,8.741754798316201
60.0,50.0,8.560885875574106
60.0,60.0,8.135157597586966
60.0,70.0,8.430509055023046
60.0,80.0,8.708246199863053
60.0,90.0,9.004176837184506
60.0,100.0,8.975146961742674
60.0,110.0,8.989595922780603
60.0,120.0,9.117941502165522
60.0,130.0,9.223146614033611
60.0,140.0,9.218752329387627
60.0,150.0,9.160494240561402
60.0,160.0,9.251566955892613
60.0,170.0,9.300776843013455
60.0,180.0,9.420719551308919
60.0,190.0,9.407678666478523
60.0,200.0,9.25467162271616
60.0,210.0,9.047658028230435
60.0,220.0,9.03869318795507
60.0,230.0,9.040631327145146
60.0,240.0,8.957356509487386
60.0,250.0,8.584243125087179
60.0,260.0,8.39879567460192
60.0,270.0,8.146887547446221
60.0,280.0,7.981711445600649
60.0,290.0,7.767778400294952
60.0,300.0,7.8993780562352605
60.0,310.0,8.101754447005272
60.0,320.0,8.520835272152485
60.0,330.0,9.058888635765904
60.0,340.0,9.557305779585132
60.0,350.0,9.601113621038433
60.0,360.0,9.668110769262402
70.0,0.0,8.94166448635359
70.0,10.0,9.263493576092669
70.0,20.0,9.162272489888444
70.0,30.0,8.721059786315474
70.0,40.0,8.577628028377088
70.0,50.0,8.57209326256783
70.0,60.0,8.177545754713435
70.0,70.0,8.63765161895692
70.0,80.0,8.584928757454417
70.0,90.0,8.90626188357368
70.0,100.0,9.081403526254086
70.0,110.0,9.289561456682215
70.0,120.0,9.206139686981084
70.0,130.0,9.154210992202009
70.0,140.0,9.136659384934278
70.0,150.0,9.299922179559491
70.0,160.0,9.3862669668377
70.0,170.0,9.554090991713126
70.0,180.0,9.45462018356539
70.0,190.0,9.563903313955441
70.0,200.0,9.390118943669366
70.0,210.0,9.15059740920292
70.0,220.0,9.10776194577007
70.0,230.0,8.93570664323542
70.0,240.0,9.064226393983184
70.0,250.0,8.984494330240837
70.0,260.0,8.947578916370201
70.0,270.0,8.59567138626846
70.0,280.0,8.208845324487754
70.0,290.0,7.895089105066924
70.0,300.0,7.832503275571709
70.0,310.0,8.149014105524287
70.0,320.0,8.597050201953314
70.0,330.0,8.930995978485809
70.0,340.0,9.321782084323807
70.0,350.0,9.132362999551326
70.0,360.0,8.94166448635359
80.0,0.0,8.827005601650635
80.0,10.0,9.066950473792748
80.0,20.0,8.795976080739239
80.0,30.0,8.781154146158999
80.0,40.0,8.837238051333923
80.0,50.0,8.764248412932186
80.0,60.0,8.74920429836204
80.0,70.0,8.618324476410962
80.0,80.0,9.105960623013692
80.0,90.0,9.123718429821107
80.0,100.0,9.093748165016732
80.0,110.0,9.064528722710849
80.0,120.0,9.036942998054963
80.0,130.0,9.022517628853093
80.0,140.0,9.133687217604269
80.0,150.0,9.00111056734703
80.0,160.0,9.197669841604025
80.0,170.0,9.25412241568679
80.0,180.0,9.143972775405942
80.0,190.0,9.415981527473996
80.0,200.0,9.037045333141036
80.0,210.0,8.996521540797875
80.0,220.0,8.92200358284268
80.0,230.0,8.940750149109624
80.0,240.0,9.177891267095134
80.0,250.0,9.011886023974393
80.0,260.0,9.162193509238078
80.0,270.0,9.0823283291685
80.0,280.0,8.671062016474533
80.0,290.0,8.190991913811
80.0,300.0,8.18875774175173
80.0,310.0,8.499651102288174
80.0,320.0,8.595186051083486
80.0,330.0,8.765876736477514
80.0,340.0,8.855730510416107
80.0,350.0,8.984303865706572
80.0,360.0,8.827005601650638
90.0,0.0,8.784606810558639
90.0,10.0,9.053516050247708
90.0,20.0,8.713329011096542
90.0,30.0,8.827601256267792
90.0,40.0,8.925451118827302
90.0,50.0,8.911141766259476
