theta,phi,Tm
0.0,0.0,9.23111524916458
0.0,10.0,9.23111524916458
0.0,20.0,9.23111524916458
0.0,30.0,9.23111524916458
0.0,40.0,9.23111524916458
0.0,50.0,9.23111524916458
0.0,60.0,9.23111524916458
0.0,70.0,9.23111524916458
0.0,80.0,9.23111524916458
0.0,90.0,9.23111524916458
0.0,100.0,9.23111524916458
0.0,110.0,9.23111524916458
0.0,120.0,9.23111524916458
0.0,130.0,9.23111524916458
0.0,140.0,9.23111524916458
0.0,150.0,9.23111524916458
0.0,160.0,9.23111524916458
0.0,170.0,9.23111524916458
0.0,180.0,9.23111524916458
0.0,190.0,9.23111524916458
0.0,200.0,9.23111524916458
0.0,210.0,9.23111524916458
0.0,220.0,9.23111524916458
0.0,230.0,9.23111524916458
0.0,240.0,9.23111524916458
0.0,250.0,9.23111524916458
0.0,260.0,9.23111524916458
0.0,270.0,9.23111524916458
0.0,280.0,9.23111524916458
0.0,290.0,9.23111524916458
0.0,300.0,9.23111524916458
0.0,310.0,9.23111524916458
0.0,320.0,9.23111524916458
0.0,330.0,9.23111524916458
0.0,340.0,9.23111524916458
0.0,350.0,9.23111524916458
0.0,360.0,9.23111524916458
10.0,0.0,9.015319634040406
10.0,10.0,9.08545196167119
10.0,20.0,9.145040069640533
10.0,30.0,9.173422967192003
10.0,40.0,9.183973839779767
10.0,50.0,9.187396227663724
10.0,60.0,9.168135029562919
10.0,70.0,9.133994432166402
10.0,80.0,9.101759219244268
10.0,90.0,9.082328329168503
10.0,100.0,9.076438821123713
10.0,110.0,9.062940104425758
10.0,120.0,8.994410515100428
10.0,130.0,8.87670087552576
10.0,140.0,8.7332954854857
10.0,150.0,8.691791076640868
10.0,160.0,8.727302711201924
10.0,170.0,8.791502061787714
10.0,180.0,8.866663054971795
10.0,190.0,8.926762016874651
10.0,200.0,8.928012258190066
10.0,210.0,8.884357935176368
10.0,220.0,8.897663332723578
10.0,230.0,8.975694608967514
10.0,240.0,9.029705852509666
10.0,250.0,9.068692839490515
10.0,260.0,9.096187479012077
10.0,270.0,9.123718429821107
10.0,280.0,8.976624219368947
10.0,290.0,8.971022506914121
10.0,300.0,9.058861365206953
10.0,310.0,9.239445879144538
10.0,320.0,9.287700552918992
10.0,330.0,9.118849878392227
10.0,340.0,8.967807898401151
10.0,350.0,8.955247218340947
10.0,360.0,9.015319634040406
20.0,0.0,9.046640166281092
20.0,10.0,9.101664412871685
20.0,20.0,9.06007990254969
20.0,30.0,9.043179071528334
20.0,40.0,9.089121051780648
20.0,50.0,9.096582675232105
20.0,60.0,9.096026333384076
20.0,70.0,8.967495472839971
20.0,80.0,8.779751647888004
20.0,90.0,8.59567138626846
20.0,100.0,8.479137808803623
20.0,110.0,8.399605950714783
20.0,120.0,8.327502513360548
20.0,130.0,8.335797541544158
20.0,140.0,8.299288201702504
20.0,150.0,8.265383498016948
20.0,160.0,8.338536432147405
20.0,170.0,8.443759960461234
20.0,180.0,8.564856688109504
20.0,190.0,8.780233152699461
20.0,200.0,8.907392982673988
20.0,210.0,8.953237108565476
20.0,220.0,9.049758195190611
20.0,230.0,9.16133580454504
20.0,240.0,9.122706050471475
20.0,250.0,9.206334134095187
20.0,260.0,9.018936571570155
20.0,270.0,8.90626188357368
20.0,280.0,9.04228935312555
20.0,290.0,8.85214758559553
20.0,300.0,8.453336349900306
20.0,310.0,8.756455791398992
20.0,320.0,8.796730495624765
20.0,330.0,8.578470801384395
20.0,340.0,8.879828007292414
20.0,350.0,8.970181759561697
20.0,360.0,9.046640166281092
30.0,0.0,8.918249958502326
30.0,10.0,9.065707344241053
30.0,20.0,9.162680092928023
30.0,30.0,9.007502362186292
30.0,40.0,9.057998793406165
30.0,50.0,8.923438162183896
30.0,60.0,8.708857686196158
30.0,70.0,8.494604449202782
30.0,80.0,8.445321705864485
30.0,90.0,8.14688754744622
30.0,100.0,7.95767895602313
30.0,110.0,7.986154165372579
30.0,120.0,7.89411902721456
30.0,130.0,7.853674314662765
30.0,140.0,7.884037278485933
30.0,150.0,7.932981458669244
30.0,160.0,8.179314952855009
30.0,170.0,8.506384741047931
30.0,180.0,8.722763306379477
30.0,190.0,8.89866511089087
30.0,200.0,9.066334072779496
30.0,210.0,9.249002124150362
30.0,220.0,9.306397383622764
30.0,230.0,9.240922416387791
30.0,240.0,9.069746156996857
30.0,250.0,9.007694570542895
30.0,260.0,8.999234266139585
30.0,270.0,9.004176837184506
30.0,280.0,8.766407310835962
30.0,290.0,8.73232139256367
30.0,300.0,8.441696424965844
30.0,310.0,8.262385548260266
30.0,320.0,8.444733336367607
30.0,330.0,8.384165390323123
30.0,340.0,8.700526153465406
30.0,350.0,8.889473775149417
30.0,360.0,8.918249958502326
40.0,0.0,8.911141766259474
40.0,10.0,8.830089297859137
40.0,20.0,9.132441632774968
40.0,30.0,8.939096645938928
40.0,40.0,9.086109568960719
40.0,50.0,8.928612074116739
40.0,60.0,8.49681400763065
40.0,70.0,8.226101950451035
40.0,80.0,8.144671729196318
40.0,90.0,8.034048459425739
40.0,100.0,7.800518256413448
40.0,110.0,7.828764720780808
40.0,120.0,7.861879732382041
40.0,130.0,7.851493147427973
40.0,140.0,7.845969658047406
40.0,150.0,8.01615735233471
40.0,160.0,8.333621582802177
40.0,170.0,8.662526760185248
40.0,180.0,8.825093353409411
40.0,190.0,8.944274303771756
40.0,200.0,9.059893986196117
40.0,210.0,9.120422393298064
40.0,220.0,9.217164927974252
40.0,230.0,9.119203358805972
40.0,240.0,8.80065239720279
40.0,250.0,8.653408603238214
40.0,260.0,8.74043478553351
40.0,270.0,8.757732422318721
40.0,280.0,8.784866500756713
40.0,290.0,8.641696871669195
40.0,300.0,8.490359028848175
40.0,310.0,8.084576881648585
40.0,320.0,8.596315864409299
40.0,330.0,8.453777541372077
40.0,340.0,8.683427732569596
40.0,350.0,8.868751933566479
40.0,360.0,8.911141766259476
50.0,0.0,8.9254511188273
50.0,10.0,8.952731213779245
50.0,20.0,9.001069945572839
50.0,30.0,8.953712996455273
50.0,40.0,9.065077166285151
50.0,50.0,8.827386225857413
50.0,60.0,8.501061845652183
50.0,70.0,8.122424007975328
50.0,80.0,7.91587633360766
50.0,90.0,7.862128647163284
50.0,100.0,7.836301809723344
50.0,110.0,7.873699917493874
50.0,120.0,8.163288978823251
50.0,130.0,8.137421205629186
50.0,140.0,8.191801754153966
50.0,150.0,8.387002782719694
50.0,160.0,8.575592133334222
50.0,170.0,8.642693155325139
50.0,180.0,8.941912594087405
50.0,190.0,9.051168773888952
50.0,200.0,9.05691024859642
50.0,210.0,9.283756547997033
50.0,220.0,9.203997155617365
50.0,230.0,8.891735180136518
50.0,240.0,8.474209631910215
50.0,250.0,8.31313129881409
50.0,260.0,8.196026656386964
50.0,270.0,8.367550169644284
50.0,280.0,8.421052151147583
50.0,290.0,8.506556458463173
50.0,300.0,8.493615081552168
50.0,310.0,8.35397534443084
50.0,320.0,8.693724570616121
50.0,330.0,8.494950342888162
50.0,340.0,8.628011023723099
50.0,350.0,8.855813639816837
50.0,360.0,8.925451118827302
60.0,0.0,8.82760125626779
60.0,10.0,8.945503966872527
60.0,20.0,9.025671618978523
60.0,30.0,9.111426315397216
60.0,40.0,8.940357703265933
60.0,50.0,8.643436926427485
60.0,60.0,8.408307238723989
60.0,70.0,8.01182456577709
60.0,80.0,7.700328719945929
60.0,90.0,7.9790451726713805
60.0,100.0,8.113666844456079
60.0,110.0,8.520330145334714
60.0,120.0,8.700993914120712
60.0,130.0,8.652101998663161
60.0,140.0,8.732319049547316
60.0,150.0,8.832788032316234
60.0,160.0,8.849319305833884
60.0,170.0,8.76872660376983
60.0,180.0,8.933710012674343
60.0,190.0,8.994127907739662
60.0,200.0,9.260089966959098
60.0,210.0,9.362565321732134
60.0,220.0,8.89749313343784
60.0,230.0,8.39922835915694
60.0,240.0,8.047603379923705
60.0,250.0,7.944233109009498
60.0,260.0,7.731761999542813
60.0,270.0,7.945437746413522
60.0,280.0,8.346285721879521
60.0,290.0,8.63026997888584
60.0,300.0,8.944891533582709
60.0,310.0,8.89909770118503
60.0,320.0,8.75911056907555
60.0,330.0,8.74227051664263
60.0,340.0,8.706362725193674
60.0,350.0,8.75189565539633
60.0,360.0,8.82760125626779
70.0,0.0,8.71332901109654
70.0,10.0,9.003483350945341
70.0,20.0,9.336246609314665
70.0,30.0,9.335908661629194
70.0,40.0,8.883148636284142
70.0,50.0,8.359288768790027
70.0,60.0,8.234672520542766
70.0,70.0,7.628659678893338
70.0,80.0,7.807891963308452
70.0,90.0,8.127198450046912
70.0,100.0,8.366810636284722
70.0,110.0,9.071377788393004
70.0,120.0,9.52782790193981
70.0,130.0,9.676034819507297
70.0,140.0,9.57183350696688
70.0,150.0,9.341243145559314
70.0,160.0,9.238138425573375
70.0,170.0,8.850348835366162
70.0,180.0,8.834819008224905
70.0,190.0,9.173498693281276
70.0,200.0,9.415268407804065
70.0,210.0,9.309355219389086
70.0,220.0,8.759273250697081
70.0,230.0,8.09885274601995
70.0,240.0,7.945346756518301
70.0,250.0,7.498437180180748
70.0,260.0,7.579889376095109
70.0,270.0,7.8349741736841505
70.0,280.0,8.198300614541255
70.0,290.0,8.902897809614998
70.0,300.0,9.464542902354498
70.0,310.0,9.881925419552056
70.0,320.0,9.516108367807307
70.0,330.0,9.130857420500632
70.0,340.0,9.063241235243227
70.0,350.0,8.771049949427034
70.0,360.0,8.713329011096539
80.0,0.0,9.053516050247708
80.0,10.0,9.411340567090809
80.0,20.0,9.584822511562592
80.0,30.0,9.420378752878838
80.0,40.0,8.834402625614487
80.0,50.0,8.18205777041661
80.0,60.0,7.769926975942058
80.0,70.0,7.776537703219008
80.0,80.0,7.617817574395363
80.0,90.0,7.849757337906881
80.0,100.0,8.540538734060851
80.0,110.0,9.465533804128157
80.0,120.0,10.332571691219965
80.0,130.0,10.690359979820697
80.0,140.0,10.304550706407632
80.0,150.0,9.639892475231717
80.0,160.0,9.101299117719215
80.0,170.0,8.977832697277549
80.0,180.0,8.839167758112659
80.0,190.0,9.242169724242924
80.0,200.0,9.534017202243366
80.0,210.0,9.329275662475306
80.0,220.0,8.838874988063491
80.0,230.0,7.985593778867467
80.0,240.0,7.855499858519492
80.0,250.0,7.585839331379256
80.0,260.0,7.399669158668238
80.0,270.0,7.420032957936458
80.0,280.0,8.269266292571109
80.0,290.0,9.41030817367312
80.0,300.0,10.392156383710033
80.0,310.0,10.880717915393298
80.0,320.0,10.225921318058326
80.0,330.0,9.476310125887553
80.0,340.0,9.26749211382135
80.0,350.0,9.060903000691551
80.0,360.0,9.053516050247708
90.0,0.0,8.784606810558639
90.0,10.0,9.14397277540594
90.0,20.0,9.45462018356539
90.0,30.0,9.420719551308917
90.0,40.0,8.89445248620013
90.0,50.0,7.781607756204169
90.0,60.0,7.798206592015846
90.0,70.0,7.677475772300878
90.0,80.0,7.451806407341566
90.0,90.0,7.4745135529907465
90.0,100.0,8.34161965268288
90.0,110.0,9.614650111532148
90.0,120.0,10.703727620147562
90.0,130.0,11.298639918600372
90.0,140.0,10.477513214473287
90.0,150.0,9.668110769262402
90.0,160.0,8.941664486353591
90.0,170.0,8.827005601650637
90.0,180.0,8.784606810558637
90.0,190.0,9.143972775405942
90.0,200.0,9.45462018356539
90.0,210.0,9.420719551308919
90.0,220.0,8.89445248620013
90.0,230.0,7.781607756204172
90.0,240.0,7.798206592015846
90.0,250.0,7.677475772300876
90.0,260.0,7.451806407341565
90.0,270.0,7.4745135529907465
90.0,280.0,8.341619652682876
90.0,290.0,9.614650111532148
90.0,300.0,10.70372762014756
90.0,310.0,11.29863991860037
90.0,320.0,10.477513214473285
90.0,330.0,9.668110769262404
90.0,340.0,8.94166448635359
90.0,350.0,8.827005601650635
90.0,360.0,8.784606810558639
100.0,0.0,8.839167758112655
100.0,10.0,9.242169724242924
100.0,20.0,9.534017202243367
100.0,30.0,9.329275662475307
100.0,40.0,8.838874988063488
100.0,50.0,7.985593778867465
100.0,60.0,7.855499858519492
100.0,70.0,7.585839331379256
100.0,80.0,7.399669158668241
100.0,90.0,7.420032957936458
100.0,100.0,8.269266292571109
100.0,110.0,9.41030817367312
100.0,120.0,10.392156383710034
100.0,130.0,10.88071791539329
100.0,140.0,10.225921318058326
100.0,150.0,9.476310125887553
100.0,160.0,9.26749211382135
100.0,170.0,9.06090300069155
100.0,180.0,9.053516050247708
100.0,190.0,9.411340567090813
100.0,200.0,9.584822511562594
100.0,210.0,9.420378752878838
100.0,220.0,8.834402625614489
100.0,230.0,8.18205777041661
100.0,240.0,7.769926975942058
100.0,250.0,7.7765377032190095
100.0,260.0,7.617817574395359
100.0,270.0,7.849757337906879
100.0,280.0,8.540538734060847
100.0,290.0,9.465533804128157
100.0,300.0,10.332571691219963
100.0,310.0,10.690359979820697
100.0,320.0,10.304550706407635
100.0,330.0,9.639892475231719
100.0,340.0,9.101299117719213
100.0,350.0,8.977832697277547
100.0,360.0,8.839167758112655
110.0,0.0,8.834819008224905
110.0,10.0,9.173498693281273
110.0,20.0,9.415268407804065
110.0,30.0,9.309355219389085
110.0,40.0,8.759273250697081
110.0,50.0,8.09885274601995
110.0,60.0,7.945346756518301
110.0,70.0,7.498437180180746
110.0,80.0,7.579889376095109
110.0,90.0,7.834974173684149
110.0,100.0,8.198300614541257
110.0,110.0,8.902897809615
110.0,120.0,9.4645429023545
110.0,130.0,9.881925419552058
110.0,140.0,9.516108367807306
110.0,150.0,9.130857420500629
110.0,160.0,9.063241235243227
110.0,170.0,8.771049949427036
110.0,180.0,8.71332901109654
110.0,190.0,9.00348335094534
110.0,200.0,9.336246609314664
110.0,210.0,9.335908661629198
110.0,220.0,8.883148636284142
110.0,230.0,8.359288768790028
110.0,240.0,8.234672520542766
110.0,250.0,7.628659678893338
110.0,260.0,7.8078919633084505
110.0,270.0,8.12719845004691
110.0,280.0,8.366810636284722
110.0,290.0,9.071377788393004
110.0,300.0,9.527827901939812
110.0,310.0,9.6760348195073
110.0,320.0,9.571833506966884
110.0,330.0,9.341243145559316
110.0,340.0,9.238138425573371
110.0,350.0,8.850348835366164
110.0,360.0,8.834819008224905
120.0,0.0,8.933710012674343
120.0,10.0,8.994127907739665
120.0,20.0,9.260089966959104
120.0,30.0,9.362565321732134
120.0,40.0,8.897493133437836
120.0,50.0,8.399228359156936
120.0,60.0,8.047603379923704
120.0,70.0,7.944233109009496
120.0,80.0,7.731761999542809
120.0,90.0,7.945437746413522
120.0,100.0,8.346285721879521
120.0,110.0,8.630269978885837
120.0,120.0,8.944891533582707
120.0,130.0,8.899097701185028
120.0,140.0,8.759110569075553
120.0,150.0,8.74227051664263
120.0,160.0,8.706362725193674
120.0,170.0,8.751895655396329
120.0,180.0,8.82760125626779
120.0,190.0,8.94550396687253
120.0,200.0,9.025671618978523
120.0,210.0,9.111426315397217
120.0,220.0,8.940357703265933
120.0,230.0,8.643436926427485
120.0,240.0,8.40830723872399
120.0,250.0,8.011824565777092
120.0,260.0,7.700328719945929
120.0,270.0,7.979045172671382
120.0,280.0,8.113666844456082
120.0,290.0,8.520330145334713
120.0,300.0,8.700993914120712
120.0,310.0,8.652101998663163
120.0,320.0,8.73231904954732
120.0,330.0,8.832788032316232
120.0,340.0,8.849319305833882
120.0,350.0,8.768726603769831
120.0,360.0,8.933710012674343
130.0,0.0,8.941912594087407
130.0,10.0,9.051168773888952
130.0,20.0,9.05691024859642
130.0,30.0,9.28375654799703
130.0,40.0,9.203997155617365
130.0,50.0,8.891735180136518
130.0,60.0,8.474209631910215
130.0,70.0,8.31313129881409
130.0,80.0,8.196026656386964
130.0,90.0,8.367550169644284
130.0,100.0,8.421052151147583
130.0,110.0,8.506556458463171
130.0,120.0,8.493615081552168
130.0,130.0,8.35397534443084
130.0,140.0,8.693724570616121
130.0,150.0,8.494950342888169
130.0,160.0,8.6280110237231
130.0,170.0,8.855813639816839
130.0,180.0,8.925451118827302
130.0,190.0,8.95273121377925
130.0,200.0,9.001069945572839
130.0,210.0,8.953712996455273
130.0,220.0,9.065077166285151
130.0,230.0,8.827386225857415
130.0,240.0,8.501061845652185
130.0,250.0,8.122424007975328
130.0,260.0,7.91587633360766
130.0,270.0,7.862128647163286
130.0,280.0,7.836301809723342
130.0,290.0,7.87369991749387
130.0,300.0,8.163288978823255
130.0,310.0,8.137421205629188
130.0,320.0,8.191801754153968
130.0,330.0,8.387002782719694
130.0,340.0,8.575592133334222
130.0,350.0,8.642693155325139
130.0,360.0,8.941912594087405
140.0,0.0,8.825093353409411
140.0,10.0,8.944274303771756
140.0,20.0,9.05989398619612
140.0,30.0,9.120422393298064
140.0,40.0,9.217164927974256
140.0,50.0,9.119203358805972
140.0,60.0,8.80065239720279
140.0,70.0,8.653408603238217
140.0,80.0,8.740434785533512
140.0,90.0,8.757732422318723
140.0,100.0,8.784866500756712
140.0,110.0,8.641696871669195
140.0,120.0,8.490359028848175
140.0,130.0,8.084576881648584
140.0,140.0,8.596315864409297
140.0,150.0,8.453777541372077
140.0,160.0,8.683427732569593
140.0,170.0,8.868751933566477
140.0,180.0,8.911141766259474
140.0,190.0,8.830089297859136
140.0,200.0,9.132441632774968
140.0,210.0,8.93909664593893
140.0,220.0,9.08610956896072
140.0,230.0,8.928612074116739
140.0,240.0,8.49681400763065
140.0,250.0,8.22610195045103
140.0,260.0,8.144671729196318
140.0,270.0,8.034048459425739
140.0,280.0,7.800518256413446
140.0,290.0,7.828764720780808
140.0,300.0,7.861879732382043
140.0,310.0,7.851493147427972
140.0,320.0,7.845969658047406
140.0,330.0,8.01615735233471
140.0,340.0,8.333621582802179
140.0,350.0,8.662526760185248
140.0,360.0,8.82509335340941
150.0,0.0,8.72276330637948
150.0,10.0,8.898665110890871
150.0,20.0,9.066334072779497
150.0,30.0,9.249002124150364
150.0,40.0,9.30639738362276
150.0,50.0,9.240922416387793
150.0,60.0,9.069746156996857
