theta,phi,Tm
0.0,0.0,8.845222319864757
0.0,10.0,8.845222319864757
0.0,20.0,8.845222319864757
0.0,30.0,8.845222319864757
0.0,40.0,8.845222319864757
0.0,50.0,8.845222319864757
0.0,60.0,8.845222319864757
0.0,70.0,8.845222319864757
0.0,80.0,8.845222319864757
0.0,90.0,8.845222319864757
0.0,100.0,8.845222319864757
0.0,110.0,8.845222319864757
0.0,120.0,8.845222319864757
0.0,130.0,8.845222319864757
0.0,140.0,8.845222319864757
0.0,150.0,8.845222319864757
0.0,160.0,8.845222319864757
0.0,170.0,8.845222319864757
0.0,180.0,8.845222319864757
0.0,190.0,8.845222319864757
0.0,200.0,8.845222319864757
0.0,210.0,8.845222319864757
0.0,220.0,8.845222319864757
0.0,230.0,8.845222319864757
0.0,240.0,8.845222319864757
0.0,250.0,8.845222319864757
0.0,260.0,8.845222319864757
0.0,270.0,8.845222319864757
0.0,280.0,8.845222319864757
0.0,290.0,8.845222319864757
0.0,300.0,8.845222319864757
0.0,310.0,8.845222319864757
0.0,320.0,8.845222319864757
0.0,330.0,8.845222319864757
0.0,340.0,8.845222319864757
0.0,350.0,8.845222319864757
0.0,360.0,8.845222319864757
10.0,0.0,8.342548411140566
10.0,10.0,8.356663022121367
10.0,20.0,8.389768288355697
10.0,30.0,8.43539072736819
10.0,40.0,8.491903564817573
10.0,50.0,8.563707628093168
10.0,60.0,8.668757989640929
10.0,70.0,8.80995599603659
10.0,80.0,8.955191942397718
10.0,90.0,9.064185207605925
10.0,100.0,9.11576242383151
10.0,110.0,9.126180365362572
10.0,120.0,9.126061008892915
10.0,130.0,9.139572357195387
10.0,140.0,9.172773052134753
10.0,150.0,9.209539075858928
10.0,160.0,9.227697645937683
10.0,170.0,9.199631513021249
10.0,180.0,9.132174952584663
10.0,190.0,9.048225927775547
10.0,200.0,8.970542578763679
10.0,210.0,8.90416081508599
10.0,220.0,8.853350519919555
10.0,230.0,8.809912793131387
10.0,240.0,8.773124129224094
10.0,250.0,8.743785597010033
10.0,260.0,8.727262597650142
10.0,270.0,8.714799234376118
10.0,280.0,8.699746478033106
10.0,290.0,8.682343525553165
10.0,300.0,8.651308906434418
10.0,310.0,8.59276235623773
10.0,320.0,8.51776897523567
10.0,330.0,8.444141389889671
10.0,340.0,8.388109190913074
10.0,350.0,8.35264603133504
10.0,360.0,8.342548411140566
20.0,0.0,7.9356613633362825
20.0,10.0,7.960076425871625
20.0,20.0,8.032723701685923
20.0,30.0,8.129897207012176
20.0,40.0,8.255154240674345
20.0,50.0,8.40977836387242
20.0,60.0,8.62203129814989
20.0,70.0,8.86479233370812
20.0,80.0,9.153779502620807
20.0,90.0,9.46558630583487
20.0,100.0,9.682607575903399
20.0,110.0,9.78893391133077
20.0,120.0,9.81759132807548
20.0,130.0,9.751949014135093
20.0,140.0,9.67316934534231
20.0,150.0,9.608009359804344
20.0,160.0,9.446575723591858
20.0,170.0,9.156468216163253
20.0,180.0,8.987543674674876
20.0,190.0,8.932337262403205
20.0,200.0,8.936546885669895
20.0,210.0,8.95268361288975
20.0,220.0,8.975689159894365
20.0,230.0,9.011215538358817
