theta,phi,Tm
0.0,0.0,9.535109612564892
0.0,10.0,9.535109612564892
0.0,20.0,9.535109612564892
0.0,30.0,9.535109612564892
0.0,40.0,9.535109612564892
0.0,50.0,9.535109612564892
0.0,60.0,9.535109612564892
0.0,70.0,9.535109612564892
0.0,80.0,9.535109612564892
0.0,90.0,9.535109612564892
0.0,100.0,9.535109612564892
0.0,110.0,9.535109612564892
0.0,120.0,9.535109612564892
0.0,130.0,9.535109612564892
0.0,140.0,9.535109612564892
0.0,150.0,9.535109612564892
0.0,160.0,9.535109612564892
0.0,170.0,9.535109612564892
0.0,180.0,9.535109612564892
0.0,190.0,9.535109612564892
0.0,200.0,9.535109612564892
0.0,210.0,9.535109612564892
0.0,220.0,9.535109612564892
0.0,230.0,9.535109612564892
0.0,240.0,9.535109612564892
0.0,250.0,9.535109612564892
0.0,260.0,9.535109612564892
0.0,270.0,9.535109612564892
0.0,280.0,9.535109612564892
0.0,290.0,9.535109612564892
0.0,300.0,9.535109612564892
0.0,310.0,9.535109612564892
0.0,320.0,9.535109612564892
0.0,330.0,9.535109612564892
0.0,340.0,9.535109612564892
0.0,350.0,9.535109612564892
0.0,360.0,9.535109612564892
10.0,0.0,9.410742821845162
10.0,10.0,9.46215093940234
10.0,20.0,9.53481929191698
10.0,30.0,9.601223142597345
10.0,40.0,9.66166189393492
10.0,50.0,9.713196118150073
10.0,60.0,9.76230158739982
10.0,70.0,9.799984554222675
10.0,80.0,9.81907761365885
10.0,90.0,9.740389620696083
10.0,100.0,9.581498795509587
10.0,110.0,9.710131052954868
10.0,120.0,9.8820229682183
10.0,130.0,9.774940220433457
10.0,140.0,9.62743388510996
10.0,150.0,9.567865592794755
10.0,160.0,9.551273980229377
10.0,170.0,9.534824379375085
10.0,180.0,9.503561488105793
10.0,190.0,9.478608737166608
10.0,200.0,9.488051641355645
10.0,210.0,9.51916367290706
10.0,220.0,9.563995562913904
10.0,230.0,9.52255204007174
10.0,240.0,9.461365289474534
10.0,250.0,9.496117747138538
10.0,260.0,9.52845528310537
10.0,270.0,9.497725015253037
10.0,280.0,9.457193148754914
10.0,290.0,9.419321298207121
10.0,300.0,9.394686455140805
10.0,310.0,9.388681761144971
10.0,320.0,9.382326657866653
10.0,330.0,9.351712871553312
10.0,340.0,9.324334026116722
10.0,350.0,9.357997742500341
10.0,360.0,9.410742821845162
20.0,0.0,9.135438205461794
20.0,10.0,9.255167289408186
20.0,20.0,9.418090198219856
20.0,30.0,9.528056035852208
20.0,40.0,9.567099498004993
20.0,50.0,9.664309853605912
20.0,60.0,9.836438891438524
20.0,70.0,9.909032070094709
20.0,80.0,10.119571916467413
20.0,90.0,9.842297732795052
20.0,100.0,10.079859639941873
20.0,110.0,9.809024097620412
20.0,120.0,10.064653704469505
20.0,130.0,10.026771510130375
20.0,140.0,9.878217093397044
20.0,150.0,9.81437193723878
20.0,160.0,9.88683395632315
20.0,170.0,9.859396326082136
20.0,180.0,9.917272634604952
20.0,190.0,9.937853505110931
20.0,200.0,9.921631441121194
20.0,210.0,10.036368443191671
20.0,220.0,10.043128672917062
20.0,230.0,9.856411748696154
20.0,240.0,9.914528520377454
20.0,250.0,9.798765139442299
20.0,260.0,9.750069163311089
20.0,270.0,9.730536456266142
20.0,280.0,9.679807717238354
20.0,290.0,9.546410554093491
20.0,300.0,9.392330930830393
20.0,310.0,9.280422829252274
20.0,320.0,9.233026377736621
20.0,330.0,9.19299003814658
20.0,340.0,9.160169878143865
20.0,350.0,9.0855605646972
20.0,360.0,9.135438205461794
30.0,0.0,9.13962893132761
30.0,10.0,9.199605008832986
30.0,20.0,9.360073993948083
30.0,30.0,9.533893657498632
30.0,40.0,9.688084290793542
30.0,50.0,9.900586023724085
30.0,60.0,10.084809422945483
30.0,70.0,10.213842658564602
30.0,80.0,9.995880900229048
30.0,90.0,10.129717292435362
30.0,100.0,10.129710457365444
30.0,110.0,10.27178835520923
30.0,120.0,10.089979920418202
30.0,130.0,9.865666973682227
30.0,140.0,9.665911093091552
30.0,150.0,9.595156338338791
30.0,160.0,9.665925790955118
30.0,170.0,9.697788778167926
30.0,180.0,9.820187530268605
30.0,190.0,9.979943061330289
30.0,200.0,10.039394484072146
30.0,210.0,10.332184466910984
30.0,220.0,10.389487474002122
30.0,230.0,10.402377950100968
30.0,240.0,10.3205547344209
30.0,250.0,10.28402491383536
30.0,260.0,10.138787264884614
30.0,270.0,9.982827192495854
30.0,280.0,9.868356823513725
30.0,290.0,9.853932826611294
30.0,300.0,9.523977006201836
30.0,310.0,9.270150235134198
30.0,320.0,9.246105000225358
30.0,330.0,9.098478253988425
30.0,340.0,9.071338993295864
30.0,350.0,8.983678067563316
30.0,360.0,9.139628931327607
40.0,0.0,9.203305032846915
40.0,10.0,9.295675923009806
40.0,20.0,9.3043067458294
40.0,30.0,9.519562628882332
40.0,40.0,9.787624944910025
40.0,50.0,10.06732122927713
40.0,60.0,10.232359276993424
40.0,70.0,10.070069644516499
40.0,80.0,10.111107457474668
40.0,90.0,10.117303963387936
40.0,100.0,10.186591216992866
40.0,110.0,10.244410667864248
40.0,120.0,10.075328407898224
40.0,130.0,9.706773913216907
40.0,140.0,9.487008145113478
40.0,150.0,9.363344510013102
40.0,160.0,9.366030101236102
40.0,170.0,9.377576519145045
40.0,180.0,9.159711921443817
40.0,190.0,9.298907691573598
40.0,200.0,9.985049369118812
40.0,210.0,9.94471142304236
40.0,220.0,10.577439552319643
40.0,230.0,10.636795889518392
40.0,240.0,10.52686898018416
40.0,250.0,10.503955652187251
40.0,260.0,10.399425114182472
40.0,270.0,10.373756883619563
40.0,280.0,10.001843885181893
40.0,290.0,9.9671025115716
40.0,300.0,9.512066488294547
40.0,310.0,9.345857677021344
40.0,320.0,9.192085336323165
40.0,330.0,9.059437958775826
40.0,340.0,8.978084767433014
40.0,350.0,8.97545971655127
40.0,360.0,9.203305032846915
50.0,0.0,9.10040934205755
50.0,10.0,9.343935042664773
50.0,20.0,9.45176131622481
50.0,30.0,9.559008405191308
50.0,40.0,9.957225011891456
50.0,50.0,10.394990818949609
50.0,60.0,10.348907171902985
50.0,70.0,10.003426757527924
50.0,80.0,9.842702850597128
50.0,90.0,9.787138506488166
50.0,100.0,10.173029939125122
50.0,110.0,10.161165979879197
50.0,120.0,10.165059937177531
50.0,130.0,9.720504596100291
50.0,140.0,9.584546164434883
50.0,150.0,9.450120927790362
50.0,160.0,9.517590842832982
50.0,170.0,9.354101568521198
50.0,180.0,9.130902765288136
50.0,190.0,9.309195517410261
50.0,200.0,9.549026524211925
50.0,210.0,10.010314598618441
50.0,220.0,10.233014295334184
50.0,230.0,10.398462634314889
50.0,240.0,10.519854184363204
50.0,250.0,10.446935775443071
50.0,260.0,10.350514261881093
50.0,270.0,10.378595802112098
50.0,280.0,10.319126777649226
50.0,290.0,10.04960527800301
50.0,300.0,9.477139400290685
50.0,310.0,9.395295286033233
50.0,320.0,9.305057076841454
50.0,330.0,9.020657942141252
50.0,340.0,9.122667072339008
50.0,350.0,9.095771420362924
50.0,360.0,9.100409342057548
60.0,0.0,9.425477620215018
60.0,10.0,9.652141304928545
60.0,20.0,9.735031281796894
60.0,30.0,9.925337727060832
60.0,40.0,10.115566703806193
60.0,50.0,10.584703337008008
60.0,60.0,10.620880088723657
60.0,70.0,9.99329621554681
60.0,80.0,9.603998897791028
60.0,90.0,9.620468658578835
60.0,100.0,9.863330404961182
60.0,110.0,9.720613732192156
60.0,120.0,10.013188318402534
60.0,130.0,10.30581202848044
60.0,140.0,9.806041495008296
60.0,150.0,9.384924131655382
60.0,160.0,9.576788487985183
60.0,170.0,9.470941973933318
60.0,180.0,9.34621234480524
60.0,190.0,9.402883735987512
60.0,200.0,9.45354896715119
60.0,210.0,9.659281727961643
60.0,220.0,10.038636915122499
60.0,230.0,10.073585659775004
60.0,240.0,10.279419264896315
60.0,250.0,10.109609039824896
60.0,260.0,10.179724708824738
60.0,270.0,10.223987614122047
60.0,280.0,10.302314630344092
60.0,290.0,10.203581573356566
60.0,300.0,9.893578326980675
60.0,310.0,9.71643893564368
60.0,320.0,9.569786807653703
60.0,330.0,9.121646395402768
60.0,340.0,9.19803987173727
60.0,350.0,9.325608830998975
60.0,360.0,9.425477620215018
70.0,0.0,9.790148698068032
70.0,10.0,9.894553392866728
70.0,20.0,9.911612035731315
70.0,30.0,10.257921416260784
70.0,40.0,10.378634070949598
70.0,50.0,10.323920348428937
70.0,60.0,10.16535559138879
70.0,70.0,9.686139339367982
70.0,80.0,9.08418224133052
70.0,90.0,9.204388542939965
70.0,100.0,9.17195843696917
70.0,110.0,9.411842728555527
70.0,120.0,10.225031976531444
70.0,130.0,10.564846773741262
70.0,140.0,10.225746594065535
70.0,150.0,9.548854882105896
70.0,160.0,9.434628855623583
70.0,170.0,9.681766089167883
70.0,180.0,9.517777534798263
70.0,190.0,9.642684528673723
70.0,200.0,9.504719666208967
70.0,210.0,9.61449018997212
70.0,220.0,10.078280607193012
70.0,230.0,10.386171573992883
70.0,240.0,10.052182260583052
70.0,250.0,9.94271349682294
70.0,260.0,9.785611536105376
70.0,270.0,9.781017855825613
70.0,280.0,10.293085406758268
70.0,290.0,10.402224180978457
70.0,300.0,10.143789524131048
70.0,310.0,10.012557181771335
70.0,320.0,9.716787836309342
70.0,330.0,9.545427226940394
70.0,340.0,9.734784414638915
70.0,350.0,9.675436960883701
70.0,360.0,9.79014869806803
80.0,0.0,10.122222700890577
80.0,10.0,10.10626020148292
80.0,20.0,10.092984891225624
80.0,30.0,10.255661051386893
80.0,40.0,10.217132199479625
80.0,50.0,10.059344816055393
80.0,60.0,9.499093682320106
80.0,70.0,9.357793957127138
80.0,80.0,9.080692673006627
80.0,90.0,9.025949494336292
80.0,100.0,8.89066460287512
80.0,110.0,9.496685983618422
80.0,120.0,10.41302996216095
80.0,130.0,10.537977168709466
80.0,140.0,10.441420900383433
80.0,150.0,10.068370948887159
80.0,160.0,9.899155303604504
80.0,170.0,9.990923581945388
80.0,180.0,9.987515947349332
80.0,190.0,9.855476683800916
80.0,200.0,9.59149171401686
80.0,210.0,9.558020477720461
80.0,220.0,10.030218276043145
80.0,230.0,10.213850115173928
80.0,240.0,9.907842748017908
80.0,250.0,9.362149813522102
80.0,260.0,9.471311237339728
80.0,270.0,9.500775224358462
80.0,280.0,9.719965085921858
80.0,290.0,10.07627163957586
80.0,300.0,9.977472075819831
80.0,310.0,10.202021219567175
80.0,320.0,10.191472532761766
80.0,330.0,10.22170732724946
80.0,340.0,10.32867182867242
80.0,350.0,10.30370951542603
80.0,360.0,10.122222700890582
90.0,0.0,10.058795038343412
90.0,10.0,10.102915657298075
90.0,20.0,9.831398062466942
90.0,30.0,9.92950529870844
90.0,40.0,10.044890348310565
90.0,50.0,9.793219897606198
90.0,60.0,9.532804620936012
90.0,70.0,9.132819567026171
90.0,80.0,9.267681898992992
90.0,90.0,9.23324412409547
90.0,100.0,9.138999638335061
90.0,110.0,9.700008901243544
90.0,120.0,10.015082280655367
90.0,130.0,10.53683624680675
90.0,140.0,10.532163213728387
90.0,150.0,10.27117549308746
90.0,160.0,10.341372004561812
90.0,170.0,10.31595294204278
90.0,180.0,10.058795038343412
90.0,190.0,10.102915657298075
90.0,200.0,9.831398062466942
90.0,210.0,9.929505298708442
90.0,220.0,10.044890348310567
90.0,230.0,9.7932198976062
