x,y,z
-20.11343595324816,-25.785,-7.962986669746253
-19.50343595324816,-25.594,-10.280986669746252
-20.39143595324816,-23.166000000000004,-12.861986669746251
-22.18543595324816,-23.455000000000005,-8.81798666974625
-21.621435953248163,-21.721000000000007,-7.254986669746251
-20.11343595324816,-20.005000000000006,-7.962986669746253
-19.50343595324816,-19.814000000000007,-10.280986669746252
-20.07043595324816,-21.559000000000005,-11.763986669746252
-19.69043595324816,-22.958000000000006,-14.745986669746252
-18.99543595324816,-22.796000000000006,-16.99798666974625
-24.954000000000004,-19.814000000000004,13.328
-24.446,-22.796000000000003,6.611
-25.608435953248158,-19.987000000000005,-5.63498666974625
-24.81643595324816,-19.895000000000003,-7.938986669746252
-20.39143595324816,-17.386000000000003,-12.861986669746251
-22.18543595324816,-17.675000000000004,-8.81798666974625
-21.621435953248163,-15.941000000000006,-7.254986669746251
-20.11343595324816,-14.225000000000005,-7.962986669746253
-19.50343595324816,-14.034000000000006,-10.280986669746252
-20.07043595324816,-15.779000000000005,-11.763986669746252
-19.69043595324816,-17.178000000000004,-14.745986669746252
-19.56843595324816,-18.698000000000008,-18.57098666974625
-18.99543595324816,-17.016000000000005,-16.99798666974625
-21.051435953248163,-20.473000000000006,-17.972986669746252
-21.843435953248157,-20.565000000000005,-15.66898666974625
-25.842000000000002,-17.386,10.747
-25.564000000000004,-14.225000000000001,15.645999999999997
-24.954000000000004,-14.034000000000002,13.328
-25.521000000000004,-15.779000000000002,11.844999999999999
-25.141000000000002,-17.178,8.863
-25.019000000000002,-18.698,5.037999999999999
-24.446,-17.016000000000002,6.611
-26.502000000000006,-20.473000000000003,5.635999999999998
-27.200000000000003,-20.565,-2.9860000000000007
-27.763,-18.831000000000003,-4.549
-29.271000000000004,-17.115000000000002,-3.841
-29.881000000000004,-16.924,-1.5229999999999997
-29.315,-18.669,-0.040000000000000924
-23.117,-25.964000000000002,-1.0570000000000004
-22.416,-26.172,-2.9410000000000003
-22.294,-24.652,-6.766
-21.721,-26.334,-5.194
-23.776000000000003,-22.877000000000002,-6.1690000000000005
-24.569000000000003,-22.785,-3.865
-26.07343595324816,-11.335000000000004,-19.767986669746254
-26.268435953248158,-17.294000000000004,-10.746986669746253
-24.474435953248157,-17.005000000000003,-14.790986669746253
-26.58943595324816,-18.901000000000003,-11.84398666974625
-26.968435953248157,-17.502000000000002,-8.862986669746252
-27.09143595324816,-15.982000000000003,-5.037986669746252
-27.66443595324816,-17.664000000000005,-6.6099866697462515
-25.608435953248158,-14.207000000000004,-5.63498666974625
-24.81643595324816,-14.115000000000004,-7.938986669746252
-20.39143595324816,-11.606000000000003,-12.861986669746251
-22.18543595324816,-11.895000000000003,-8.81798666974625
-21.621435953248163,-10.161000000000005,-7.254986669746251
-20.11343595324816,-8.445000000000004,-7.962986669746253
-19.50343595324816,-8.254000000000005,-10.280986669746252
-20.07043595324816,-9.999000000000004,-11.763986669746252
-19.69043595324816,-11.398000000000003,-14.745986669746252
-19.56843595324816,-12.918000000000005,-18.57098666974625
-18.99543595324816,-11.236000000000004,-16.99798666974625
-21.051435953248163,-14.693000000000005,-17.972986669746252
-21.843435953248157,-14.785000000000004,-15.66898666974625
-24.24343595324816,-14.288000000000004,-20.66698666974625
-24.36543595324816,-15.808000000000003,-16.84198666974625
-24.93943595324816,-14.126000000000005,-18.414986669746252
-22.883435953248156,-17.583000000000006,-17.43998666974625
-22.090435953248157,-17.675000000000004,-19.743986669746253
-19.459435953248157,-19.895000000000003,-20.62198666974625
-18.896435953248158,-21.629000000000005,-19.05898666974625
-31.802000000000003,-14.495999999999999,-1.0570000000000004
-31.524000000000004,-11.335,3.8409999999999984
-30.914,-11.144,1.5229999999999997
-31.48,-12.889,0.040000000000000036
-31.101000000000003,-14.288,-2.9410000000000003
-30.406000000000002,-14.126000000000001,-5.194
-25.842000000000002,-11.606,10.747
-27.636000000000003,-11.895,14.791
-27.072000000000006,-10.161000000000001,16.354
-25.564000000000004,-8.445,15.645999999999997
-24.954000000000004,-8.254000000000001,13.328
-25.521000000000004,-9.999,11.844999999999999
-25.141000000000002,-11.398,8.863
-25.019000000000002,-12.918000000000001,5.037999999999999
-24.446,-11.236,6.611
-26.502000000000006,-14.693000000000001,5.635999999999998
-27.294,-14.785,7.94
-28.993000000000006,-14.495999999999999,1.0579999999999998
-27.200000000000003,-14.785,-2.9860000000000007
-27.763,-13.051,-4.549
-29.271000000000004,-11.335,-3.841
-29.881000000000004,-11.144,-1.5229999999999997
-29.315,-12.889,-0.040000000000000924
-29.694000000000003,-14.288,2.9419999999999993
-29.816000000000003,-15.808,6.767
-30.390000000000004,-14.126000000000001,5.194
-28.334,-17.583,6.169
-27.541,-17.675,3.8649999999999993
-23.117,-20.184,-1.0570000000000004
-24.91,-19.895,2.987000000000001
-24.347,-21.629,4.550000000000002
-22.839000000000002,-23.345,3.8409999999999984
-22.229000000000003,-23.536,1.5229999999999997
-22.795,-21.791,0.040000000000000036
-22.416,-20.392,-2.9410000000000003
-22.294,-18.872,-6.766
-21.721,-20.554,-5.194
-23.776000000000003,-17.096999999999998,-6.1690000000000005
-24.569000000000003,-17.005,-3.865
-14.662871906496315,-2.665000000000004,-31.571973339492505
-27.58143595324816,-7.271000000000003,-19.05898666974625
-26.07343595324816,-5.5550000000000015,-19.767986669746254
-25.46343595324816,-5.3640000000000025,-22.08598666974625
-26.268435953248158,-11.514000000000003,-10.746986669746253
-24.474435953248157,-11.225000000000003,-14.790986669746253
-25.03743595324816,-12.959000000000003,-16.353986669746252
-26.54543595324816,-14.675000000000002,-15.644986669746249
-27.155435953248162,-14.866000000000003,-13.326986669746251
-26.58943595324816,-13.121000000000002,-11.84398666974625
-26.968435953248157,-11.722000000000003,-8.862986669746252
-27.09143595324816,-10.202000000000002,-5.037986669746252
-27.66443595324816,-11.884000000000002,-6.6099866697462515
-25.608435953248158,-8.427000000000001,-5.63498666974625
-24.81643595324816,-8.335000000000003,-7.938986669746252
-20.39143595324816,-5.826000000000002,-12.861986669746251
-22.18543595324816,-6.115000000000002,-8.81798666974625
-21.621435953248163,-4.381000000000004,-7.254986669746251
-20.11343595324816,-2.6650000000000023,-7.962986669746253
-19.50343595324816,-2.4740000000000033,-10.280986669746252
-20.07043595324816,-4.219000000000003,-11.763986669746252
-19.69043595324816,-5.618000000000002,-14.745986669746252
-19.56843595324816,-7.1380000000000035,-18.57098666974625
