Distance,Count
66.9,230
57.94,1593
30.65,6487
20.7,4738
29.51,2500
44.57,6265
48.07,5485
49.4,4896
43.79,4477
13.28,1778
49.58,3857
19.08,2012
18.59,2521
15.69,3370
29.05,3548
42.75,5150
58.17,2301
32.54,5662
20.89,3574
55.51,2367
45.34,4396
46.77,4996
42.55,4727
45.46,4439
54.09,2862
45.77,7930
68.93,9
29.54,5847
33.28,6889
32.58,5340
40.27,6977
50.42,4261
42.26,4642
53.8,3365
17.96,2654
61.77,978
66.22,315
47.68,4683
59.0,1737
32.65,4018
30.59,5460
63.19,887
5.36,129
59.17,1887
61.12,1271
64.02,809
43.86,8208
31.42,5681
55.39,2464
21.69,3837
25.5,3126
46.08,5013
39.57,5082
8.17,1009
52.24,4273
53.23,3451
57.16,2275
60.27,1846
64.32,653
62.34,1052
14.17,1158
15.93,3044
63.16,811
30.13,5660
14.81,3645
31.02,6303
65.07,490
62.52,1303
69.8,7
28.9,9066
35.65,6865
20.13,3105
19.74,2136
63.14,955
55.73,2528
14.45,834
32.6,6083
21.86,4663
69.7,3
48.06,4902
67.95,78
61.95,1370
57.07,2352
27.87,4669
3.91,574
35.66,6855
27.2,6607
10.36,1422
14.92,4480
51.62,3775
56.28,2743
17.1,1655
17.02,3511
9.57,965
21.44,2083
18.94,3241
12.07,452
38.73,6778
24.41,4870
11.84,1834
23.44,3924
60.71,1598
63.55,743
29.99,5732
68.43,47
34.39,6206
22.46,3355
11.99,2254
47.47,5207
64.79,445
48.05,5286
46.34,4693
32.52,4422
69.01,20
11.1,1027
47.83,4359
45.45,4608
69.1,17
64.52,536
17.93,4741
10.73,2458
60.14,1431
41.71,4062
28.12,3515
66.73,200
36.95,6057
53.08,4029
50.38,3948
42.41,5193
38.56,5903
61.01,1453
37.13,8121
59.87,1645
53.21,4666
51.88,3056
62.61,1018
8.78,488
52.61,4277
62.28,1078
68.96,34
26.49,4175
27.92,7546
31.07,4544
45.59,5473
17.57,3632
29.44,7066
14.34,858
27.19,6726
29.58,5763
56.84,2701
7.42,2534
41.01,6736
57.21,2334
66.17,260
23.53,5182
65.36,392
8.75,1262
37.67,5473
53.79,3318
55.72,2886
66.32,251
68.27,61
49.03,3417
13.06,216
18.89,1851
51.44,4259
48.42,7007
31.77,6201
22.34,3447
37.87,6395
41.08,4968
58.26,2391
66.83,208
16.65,3555
45.33,4190
7.34,1540
16.47,2386
60.08,1681
15.45,1522
13.86,842
6.98,516
40.13,4555
42.77,4983
36.88,9126
4.82,562
54.12,3017
13.77,3436
33.71,7537
54.52,3581
43.75,4425
4.76,548
51.74,4385
51.64,3550
38.24,5897
58.38,1802
67.32,153
28.37,6699
68.86,35
67.06,165
12.48,985
12.49,329
41.42,7783
63.22,797
22.12,4253
27.47,4403
22.94,4427
54.65,3428
43.7,4860
6.28,522
40.53,6428
9.19,480
5.72,546
67.12,164
55.16,2917
45.41,6052
56.94,2726
36.1,3352
67.39,118
17.41,286
53.46,3210
64.6,499
58.74,1423
58.91,2259
65.04,466
9.17,478
24.68,4804
47.4,5270
58.86,1725
37.94,6493
46.13,4819
13.58,1500
13.6,2498
35.39,7171
23.11,4893
2.38,580
35.25,3833
19.52,3144
42.81,6422
41.12,6730
29.85,7056
64.86,562
36.68,5669
13.95,2769
15.32,3684
30.11,5490
39.05,4521
16.41,3588
21.13,6596
16.45,4253
41.64,5120
56.88,2613
